customer_id,consent_status,profile_completeness,no_active_fraud_flag,active_retention_journey,last_marketing_contact_hours
CUST-0001,true,0.81,true,false,90
CUST-0002,true,0.82,true,false,108
CUST-0003,true,0.83,true,false,126
CUST-0004,true,0.84,true,false,144
CUST-0005,true,0.85,true,false,162
CUST-0006,true,0.86,true,false,180
CUST-0007,true,0.87,true,false,198
CUST-0008,true,0.88,true,false,216
CUST-0009,true,0.89,true,false,234
CUST-0010,true,0.90,true,false,252
CUST-0011,true,0.91,true,true,270
CUST-0012,true,0.92,true,false,288
CUST-0013,true,0.93,true,false,306
CUST-0014,true,0.94,true,false,72
CUST-0015,true,0.80,true,false,90
CUST-0016,true,0.81,true,false,108
CUST-0017,true,0.82,true,false,126
CUST-0018,true,0.83,true,false,144
CUST-0019,true,0.84,true,false,162
CUST-0020,true,0.85,true,false,180
CUST-0021,true,0.86,true,false,198
CUST-0022,true,0.87,true,true,216
CUST-0023,true,0.88,true,false,234
CUST-0024,true,0.89,true,false,252
CUST-0025,true,0.90,true,false,270
CUST-0026,true,0.91,true,false,288
CUST-0027,true,0.92,true,false,306
CUST-0028,true,0.93,true,false,72
CUST-0029,true,0.94,true,false,90
CUST-0030,true,0.80,true,false,108
CUST-0031,true,0.81,true,false,126
CUST-0032,true,0.82,true,false,144
CUST-0033,true,0.83,true,true,162
CUST-0034,true,0.84,true,false,180
CUST-0035,true,0.85,true,false,198
CUST-0036,true,0.86,true,false,216
CUST-0037,true,0.87,false,false,234
CUST-0038,true,0.88,true,false,252
CUST-0039,true,0.89,true,false,270
CUST-0040,true,0.90,true,false,288
CUST-0041,true,0.91,true,false,306
CUST-0042,true,0.92,true,false,72
CUST-0043,true,0.93,true,false,90
CUST-0044,true,0.94,true,true,108
CUST-0045,true,0.80,true,false,126
CUST-0046,true,0.81,true,false,144
CUST-0047,true,0.82,true,false,162
CUST-0048,true,0.83,true,false,180
CUST-0049,true,0.84,true,false,198
CUST-0050,true,0.85,true,false,216
CUST-0051,true,0.86,true,false,234
CUST-0052,true,0.87,true,false,252
CUST-0053,true,0.88,true,false,270
CUST-0054,true,0.89,true,false,288
CUST-0055,true,0.90,true,true,306
CUST-0056,true,0.91,true,false,72
CUST-0057,true,0.92,true,false,90
CUST-0058,true,0.93,true,false,108
CUST-0059,true,0.94,true,false,126
CUST-0060,true,0.80,true,false,144
CUST-0061,true,0.81,true,false,162
CUST-0062,true,0.82,true,false,180
CUST-0063,true,0.83,true,false,198
CUST-0064,true,0.84,true,false,216
CUST-0065,true,0.85,true,false,234
CUST-0066,true,0.86,true,true,252
CUST-0067,true,0.87,true,false,270
CUST-0068,true,0.88,true,false,288
CUST-0069,true,0.89,true,false,306
CUST-0070,true,0.90,true,false,72
CUST-0071,true,0.91,true,false,90
CUST-0072,true,0.92,true,false,108
CUST-0073,true,0.93,true,false,126
CUST-0074,true,0.94,false,false,144
CUST-0075,true,0.80,true,false,162
CUST-0076,true,0.81,true,false,180
CUST-0077,true,0.82,true,true,198
CUST-0078,true,0.83,true,false,216
CUST-0079,true,0.84,true,false,234
CUST-0080,true,0.85,true,false,252
CUST-0081,true,0.86,true,false,270
CUST-0082,true,0.87,true,false,288
CUST-0083,true,0.88,true,false,306
CUST-0084,true,0.89,true,false,72
CUST-0085,true,0.90,true,false,90
CUST-0086,true,0.91,true,false,108
CUST-0087,true,0.92,true,false,126
CUST-0088,true,0.93,true,true,144
CUST-0089,true,0.94,true,false,162
CUST-0090,true,0.80,true,false,180
CUST-0091,true,0.81,true,false,198
CUST-0092,true,0.82,true,false,216
CUST-0093,true,0.83,true,false,234
CUST-0094,true,0.84,true,false,252
CUST-0095,true,0.85,true,false,270
CUST-0096,true,0.86,true,false,288
CUST-0097,true,0.87,true,false,306
CUST-0098,true,0.88,true,false,72
CUST-0099,true,0.89,true,true,90
CUST-0100,true,0.90,true,false,108
CUST-0101,true,0.91,true,false,126
CUST-0102,true,0.92,true,false,144
CUST-0103,true,0.93,true,false,162
CUST-0104,true,0.94,true,false,180
CUST-0105,true,0.80,true,false,198
CUST-0106,true,0.81,true,false,216
CUST-0107,true,0.82,true,false,234
CUST-0108,true,0.83,true,false,252
CUST-0109,true,0.84,true,false,270
CUST-0110,true,0.85,true,true,288
CUST-0111,true,0.86,false,false,306
CUST-0112,true,0.87,true,false,72
CUST-0113,true,0.88,true,false,90
CUST-0114,true,0.89,true,false,108
CUST-0115,true,0.90,true,false,126
CUST-0116,true,0.91,true,false,144
CUST-0117,true,0.92,true,false,162
CUST-0118,true,0.93,true,false,180
CUST-0119,true,0.94,true,false,198
CUST-0120,true,0.80,true,false,216
CUST-0121,true,0.81,true,true,234
CUST-0122,true,0.82,true,false,252
CUST-0123,true,0.83,true,false,270
CUST-0124,true,0.84,true,false,288
CUST-0125,true,0.85,true,false,306
CUST-0126,true,0.86,true,false,72
CUST-0127,true,0.87,true,false,90
CUST-0128,true,0.88,true,false,108
CUST-0129,true,0.89,true,false,126
CUST-0130,true,0.90,true,false,144
CUST-0131,true,0.91,true,false,162
CUST-0132,true,0.92,true,true,180
CUST-0133,true,0.93,true,false,198
CUST-0134,true,0.94,true,false,216
CUST-0135,true,0.80,true,false,234
CUST-0136,true,0.81,true,false,252
CUST-0137,true,0.82,true,false,270
CUST-0138,true,0.83,true,false,288
CUST-0139,true,0.84,true,false,306
CUST-0140,true,0.85,true,false,72
