customer_id,support_ticket_norm
CUST-0001,0.1100
CUST-0002,0.2200
CUST-0003,0.3300
CUST-0004,0.4400
CUST-0005,0.5500
CUST-0006,0.6600
CUST-0007,0.7700
CUST-0008,0.8800
CUST-0009,0.9900
CUST-0010,0.1000
CUST-0011,0.2100
CUST-0012,0.3200
CUST-0013,0.4300
CUST-0014,0.5400
CUST-0015,0.6500
CUST-0016,0.7600
CUST-0017,0.8700
CUST-0018,0.9800
CUST-0019,0.0900
CUST-0020,0.2000
CUST-0021,0.3100
CUST-0022,0.4200
CUST-0023,0.5300
CUST-0024,0.6400
CUST-0025,0.7500
CUST-0026,0.8600
CUST-0027,0.9700
CUST-0028,0.0800
CUST-0029,0.1900
CUST-0030,0.3000
CUST-0031,0.4100
CUST-0032,0.5200
CUST-0033,0.6300
CUST-0034,0.7400
CUST-0035,0.8500
CUST-0036,0.9600
CUST-0037,0.0700
CUST-0038,0.1800
CUST-0039,0.2900
CUST-0040,0.4000
CUST-0041,0.5100
CUST-0042,0.6200
CUST-0043,0.7300
CUST-0044,0.8400
CUST-0045,0.9500
CUST-0046,0.0600
CUST-0047,0.1700
CUST-0048,0.2800
CUST-0049,0.3900
CUST-0050,0.5000
CUST-0051,0.6100
CUST-0052,0.7200
CUST-0053,0.8300
CUST-0054,0.9400
CUST-0055,0.0500
CUST-0056,0.1600
CUST-0057,0.2700
CUST-0058,0.3800
CUST-0059,0.4900
CUST-0060,0.6000
CUST-0061,0.7100
CUST-0062,0.8200
CUST-0063,0.9300
CUST-0064,0.0400
CUST-0065,0.1500
CUST-0066,0.2600
CUST-0067,0.3700
CUST-0068,0.4800
CUST-0069,0.5900
CUST-0070,0.7000
CUST-0071,0.8100
CUST-0072,0.9200
CUST-0073,0.0300
CUST-0074,0.1400
CUST-0075,0.2500
CUST-0076,0.3600
CUST-0077,0.4700
CUST-0078,0.5800
CUST-0079,0.6900
CUST-0080,0.8000
CUST-0081,0.9100
CUST-0082,0.0200
CUST-0083,0.1300
CUST-0084,0.2400
CUST-0085,0.3500
CUST-0086,0.4600
CUST-0087,0.5700
CUST-0088,0.6800
CUST-0089,0.7900
CUST-0090,0.9000
CUST-0091,0.0100
CUST-0092,0.1200
CUST-0093,0.2300
CUST-0094,0.3400
CUST-0095,0.4500
CUST-0096,0.5600
CUST-0097,0.6700
CUST-0098,0.7800
CUST-0099,0.8900
CUST-0100,0.0000
CUST-0101,0.1100
CUST-0102,0.2200
CUST-0103,0.3300
CUST-0104,0.4400
CUST-0105,0.5500
CUST-0106,0.6600
CUST-0107,0.7700
CUST-0108,0.8800
CUST-0109,0.9900
CUST-0110,0.1000
CUST-0111,0.2100
CUST-0112,0.3200
CUST-0113,0.4300
CUST-0114,0.5400
CUST-0115,0.6500
CUST-0116,0.7600
CUST-0117,0.8700
CUST-0118,0.9800
CUST-0119,0.0900
CUST-0120,0.2000
CUST-0121,0.3100
CUST-0122,0.4200
CUST-0123,0.5300
CUST-0124,0.6400
CUST-0125,0.7500
CUST-0126,0.8600
CUST-0127,0.9700
CUST-0128,0.0800
CUST-0129,0.1900
CUST-0130,0.3000
CUST-0131,0.4100
CUST-0132,0.5200
CUST-0133,0.6300
CUST-0134,0.7400
CUST-0135,0.8500
CUST-0136,0.9600
CUST-0137,0.0700
CUST-0138,0.1800
CUST-0139,0.2900
CUST-0140,0.4000
