customer_id,recency_norm,engagement_norm,score_ts,churned_60d
CUST-0001,0.0900,0.1300,2026-04-22T00:00:00Z,0
CUST-0002,0.1800,0.2600,2026-04-22T00:00:00Z,0
CUST-0003,0.2700,0.3900,2026-04-22T00:00:00Z,0
CUST-0004,0.3600,0.5200,2026-04-22T00:00:00Z,0
CUST-0005,0.4500,0.6500,2026-04-22T00:00:00Z,0
CUST-0006,0.5400,0.7800,2026-04-22T00:00:00Z,0
CUST-0007,0.6300,0.9100,2026-04-22T00:00:00Z,0
CUST-0008,0.7200,0.0400,2026-04-22T00:00:00Z,1
CUST-0009,0.8100,0.1700,2026-04-22T00:00:00Z,1
CUST-0010,0.9000,0.3000,2026-04-22T00:00:00Z,1
CUST-0011,0.9900,0.4300,2026-04-22T00:00:00Z,1
CUST-0012,0.0800,0.5600,2026-04-22T00:00:00Z,0
CUST-0013,0.1700,0.6900,2026-04-22T00:00:00Z,0
CUST-0014,0.2600,0.8200,2026-04-22T00:00:00Z,0
CUST-0015,0.3500,0.9500,2026-04-22T00:00:00Z,0
CUST-0016,0.4400,0.0800,2026-04-22T00:00:00Z,1
CUST-0017,0.5300,0.2100,2026-04-22T00:00:00Z,1
CUST-0018,0.6200,0.3400,2026-04-22T00:00:00Z,1
CUST-0019,0.7100,0.4700,2026-04-22T00:00:00Z,1
CUST-0020,0.8000,0.6000,2026-04-22T00:00:00Z,1
CUST-0021,0.8900,0.7300,2026-04-22T00:00:00Z,1
CUST-0022,0.9800,0.8600,2026-04-22T00:00:00Z,1
CUST-0023,0.0700,0.9900,2026-04-22T00:00:00Z,0
CUST-0024,0.1600,0.1200,2026-04-22T00:00:00Z,0
CUST-0025,0.2500,0.2500,2026-04-22T00:00:00Z,0
CUST-0026,0.3400,0.3800,2026-04-22T00:00:00Z,0
CUST-0027,0.4300,0.5100,2026-04-22T00:00:00Z,0
CUST-0028,0.5200,0.6400,2026-04-22T00:00:00Z,0
CUST-0029,0.6100,0.7700,2026-04-22T00:00:00Z,0
CUST-0030,0.7000,0.9000,2026-04-22T00:00:00Z,0
CUST-0031,0.7900,0.0300,2026-04-22T00:00:00Z,1
CUST-0032,0.8800,0.1600,2026-04-22T00:00:00Z,1
CUST-0033,0.9700,0.2900,2026-04-22T00:00:00Z,1
CUST-0034,0.0600,0.4200,2026-04-22T00:00:00Z,0
CUST-0035,0.1500,0.5500,2026-04-22T00:00:00Z,0
CUST-0036,0.2400,0.6800,2026-04-22T00:00:00Z,0
CUST-0037,0.3300,0.8100,2026-04-22T00:00:00Z,0
CUST-0038,0.4200,0.9400,2026-04-22T00:00:00Z,0
CUST-0039,0.5100,0.0700,2026-04-22T00:00:00Z,1
CUST-0040,0.6000,0.2000,2026-04-22T00:00:00Z,1
CUST-0041,0.6900,0.3300,2026-04-22T00:00:00Z,1
CUST-0042,0.7800,0.4600,2026-04-22T00:00:00Z,1
CUST-0043,0.8700,0.5900,2026-04-22T00:00:00Z,1
CUST-0044,0.9600,0.7200,2026-04-22T00:00:00Z,1
CUST-0045,0.0500,0.8500,2026-04-22T00:00:00Z,0
CUST-0046,0.1400,0.9800,2026-04-22T00:00:00Z,0
CUST-0047,0.2300,0.1100,2026-04-22T00:00:00Z,0
