campaign_id,test_window,treated_customers,control_customers,treated_conversions,control_conversions,aov,campaign_cost,pre_period_conversion_rate,audience_tier
CMP-001,2026-03-01_to_2026-04-12,31100,12250,886,355,77.50,16400.00,0.02668,mid_value
CMP-002,2026-03-01_to_2026-04-12,34200,13500,1231,445,90.00,18800.00,0.03036,low_value
CMP-003,2026-03-01_to_2026-04-12,37300,13550,1622,501,102.50,21200.00,0.03404,high_value
CMP-004,2026-03-01_to_2026-04-12,36800,14800,1876,606,115.00,23600.00,0.03772,mid_value
CMP-005,2026-03-01_to_2026-04-12,39900,16050,2334,722,127.50,22750.00,0.04140,low_value
CMP-006,2026-03-01_to_2026-04-12,43000,16100,1806,402,140.00,25150.00,0.02300,high_value
CMP-007,2026-03-01_to_2026-04-12,46100,17350,1152,503,152.50,27550.00,0.02668,mid_value
CMP-008,2026-03-01_to_2026-04-12,45600,18600,1482,613,65.00,29950.00,0.03036,low_value
CMP-009,2026-03-01_to_2026-04-12,48700,18650,1948,690,77.50,32350.00,0.03404,high_value
CMP-010,2026-03-01_to_2026-04-12,51800,19900,2460,815,90.00,31500.00,0.03772,mid_value
CMP-011,2026-03-01_to_2026-04-12,54900,21150,3019,951,102.50,33900.00,0.04140,low_value
CMP-012,2026-03-01_to_2026-04-12,54400,21200,2094,530,115.00,36300.00,0.02300,high_value
CMP-013,2026-03-01_to_2026-04-12,57500,22450,2645,651,127.50,38700.00,0.02668,mid_value
CMP-014,2026-03-01_to_2026-04-12,60600,23700,1757,782,140.00,41100.00,0.03036,low_value
CMP-015,2026-03-01_to_2026-04-12,63700,23750,2325,878,152.50,40250.00,0.03404,high_value
CMP-016,2026-03-01_to_2026-04-12,63200,25000,2780,1025,65.00,42650.00,0.03772,mid_value
CMP-017,2026-03-01_to_2026-04-12,66300,26250,3414,1181,77.50,45050.00,0.04140,low_value
CMP-018,2026-03-01_to_2026-04-12,69400,26300,2429,657,90.00,47450.00,0.02300,high_value
