period,channel,weekly_spend,impressions,clicks,promo_index,observed_revenue,seasonality_index,macro_index
2026-W01,search,24850.00,111200,2613,0.8500,40971.44,0.9400,0.9700
2026-W01,social,27900.00,128200,3525,1.0300,46792.49,0.9400,0.9700
2026-W01,display,30950.00,145200,4573,1.2100,52786.77,0.9400,0.9700
2026-W01,affiliate,34000.00,162200,5758,1.3900,58954.30,0.9400,0.9700
2026-W01,email,37050.00,179200,7078,1.5700,65295.07,0.9400,0.9700
2026-W02,search,27300.00,115400,2885,0.9200,45348.03,0.9800,1.0000
2026-W02,social,31000.00,132400,3839,1.1000,52374.50,0.9800,1.0000
2026-W02,display,34700.00,149400,4930,1.2800,59611.13,0.9800,1.0000
2026-W02,affiliate,33850.00,166400,6156,1.4600,59112.25,0.9800,1.0000
2026-W02,email,37550.00,183400,7519,1.6400,66639.99,0.9800,1.0000
2026-W03,search,29750.00,119600,2631,0.9900,49316.57,1.0200,1.0300
2026-W03,social,34100.00,136600,3551,1.1700,57496.01,1.0200,1.0300
2026-W03,display,33900.00,153600,4608,1.3500,58121.55,1.0200,1.0300
2026-W03,affiliate,38250.00,170600,5800,1.5300,66665.93,1.0200,1.0300
2026-W03,email,38050.00,187600,7128,1.7100,67397.96,1.0200,1.0300
2026-W04,search,32200.00,123800,2909,0.7800,53054.33,1.0600,1.0600
2026-W04,social,32650.00,140800,3872,0.9600,54723.03,1.0600,1.0600
2026-W04,display,37650.00,157800,4970,1.1400,64172.54,1.0600,1.0600
2026-W04,affiliate,38100.00,174800,6205,1.3200,66021.58,1.0600,1.0600
2026-W04,email,43100.00,191800,7576,1.5000,75909.87,1.0600,1.0600
2026-W05,search,34650.00,128000,3200,0.8500,57259.12,1.1000,0.9400
2026-W05,social,35750.00,145000,4205,1.0300,60092.17,1.1000,0.9400
2026-W05,display,36850.00,162000,5346,1.2100,62987.70,1.1000,0.9400
2026-W05,affiliate,42500.00,179000,6623,1.3900,73852.25,1.1000,0.9400
2026-W05,email,43600.00,196000,8036,1.5700,77001.96,1.1000,0.9400
2026-W06,search,37100.00,132200,2908,0.9200,61181.61,0.9000,0.9700
2026-W06,social,38850.00,149200,3879,1.1000,65170.88,0.9000,0.9700
2026-W06,display,40600.00,166200,4986,1.2800,69259.54,0.9000,0.9700
2026-W06,affiliate,42350.00,183200,6228,1.4600,73447.60,0.9000,0.9700
2026-W06,email,44100.00,200200,7607,1.6400,77735.07,0.9000,0.9700
2026-W07,search,35000.00,136400,3205,0.9900,58150.75,0.9400,1.0000
2026-W07,social,37400.00,153400,4218,1.1700,63200.39,0.9400,1.0000
2026-W07,display,39800.00,170400,5367,1.3500,68386.35,0.9400,1.0000
2026-W07,affiliate,42200.00,187400,6652,1.5300,73708.63,0.9400,1.0000
2026-W07,email,44600.00,204400,8073,1.7100,79167.23,0.9400,1.0000
2026-W08,search,37450.00,140600,3515,0.7800,61844.93,0.9800,1.0300
2026-W08,social,40500.00,157600,4570,0.9600,68031.90,0.9800,1.0300
2026-W08,display,43550.00,174600,5761,1.1400,74392.11,0.9800,1.0300
2026-W08,affiliate,46600.00,191600,7089,1.3200,80925.56,0.9800,1.0300
2026-W08,email,49650.00,208600,8552,1.5000,87632.25,0.9800,1.0300
2026-W09,search,39900.00,144800,3185,0.8500,65755.20,1.0200,1.0600
2026-W09,social,43600.00,161800,4206,1.0300,73091.04,1.0200,1.0600
2026-W09,display,47300.00,178800,5364,1.2100,80637.04,1.0200,1.0600
2026-W09,affiliate,46450.00,195800,6657,1.3900,80507.14,1.0200,1.0600
2026-W09,email,50150.00,212800,8086,1.5700,88344.24,1.0200,1.0600
2026-W10,search,42350.00,149000,3501,0.9200,69998.20,1.0600,0.9400
2026-W10,social,46700.00,166000,4565,1.1000,78514.38,1.0600,0.9400
2026-W10,display,46500.00,183000,5764,1.2800,79498.72,1.0600,0.9400
2026-W10,affiliate,50850.00,200000,7099,1.4600,88379.84,1.0600,0.9400
2026-W10,email,50650.00,217000,8571,1.6400,89470.69,1.0600,0.9400
2026-W11,search,44800.00,153200,3830,0.9900,74600.96,1.1000,0.9700
2026-W11,social,45250.00,170200,4935,1.1700,76635.40,1.1000,0.9700
2026-W11,display,50250.00,187200,6177,1.3500,86530.50,1.1000,0.9700
2026-W11,affiliate,50700.00,204200,7555,1.5300,88745.28,1.1000,0.9700
2026-W11,email,55700.00,221200,9069,1.7100,99079.16,1.1000,0.9700
2026-W12,search,47250.00,157400,3462,0.7800,77461.65,0.9000,1.0000
2026-W12,social,48350.00,174400,4534,0.9600,80638.13,0.9000,1.0000
2026-W12,display,49450.00,191400,5742,1.1400,83877.09,0.9000,1.0000
2026-W12,affiliate,55100.00,208400,7085,1.3200,95025.46,0.9000,1.0000
2026-W12,email,56200.00,225400,8565,1.5000,98518.60,0.9000,1.0000
