customer_id,risk_score,value_score,score_ts,historical_action_id,observed_uplift,retained_30d
CUST-0001,0.1700,0.2300,2026-04-22T00:00:00Z,free_shipping_offer,0.0696,0
CUST-0002,0.2400,0.2800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.0860,0
CUST-0003,0.3100,0.3300,2026-04-22T00:00:00Z,retargeting_creative_a,0.1024,0
CUST-0004,0.3800,0.3800,2026-04-22T00:00:00Z,offer_10pct_discount,0.1188,0
CUST-0005,0.4500,0.4300,2026-04-22T00:00:00Z,free_shipping_offer,0.1352,0
CUST-0006,0.5200,0.4800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1516,1
CUST-0007,0.5900,0.5300,2026-04-22T00:00:00Z,retargeting_creative_a,0.1680,1
CUST-0008,0.6600,0.5800,2026-04-22T00:00:00Z,offer_10pct_discount,0.1844,1
CUST-0009,0.7300,0.6300,2026-04-22T00:00:00Z,free_shipping_offer,0.2008,1
CUST-0010,0.8000,0.6800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.2172,1
CUST-0011,0.1200,0.7300,2026-04-22T00:00:00Z,retargeting_creative_a,0.1061,0
CUST-0012,0.1900,0.7800,2026-04-22T00:00:00Z,offer_10pct_discount,0.1225,0
CUST-0013,0.2600,0.8300,2026-04-22T00:00:00Z,free_shipping_offer,0.1389,0
CUST-0014,0.3300,0.8800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1553,1
CUST-0015,0.4000,0.2100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1069,0
CUST-0016,0.4700,0.2600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1233,0
CUST-0017,0.5400,0.3100,2026-04-22T00:00:00Z,free_shipping_offer,0.1397,0
CUST-0018,0.6100,0.3600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1561,1
CUST-0019,0.6800,0.4100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1725,1
CUST-0020,0.7500,0.4600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1889,1
CUST-0021,0.8200,0.5100,2026-04-22T00:00:00Z,free_shipping_offer,0.2053,1
CUST-0022,0.1400,0.5600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.0942,0
CUST-0023,0.2100,0.6100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1106,0
CUST-0024,0.2800,0.6600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1270,0
CUST-0025,0.3500,0.7100,2026-04-22T00:00:00Z,free_shipping_offer,0.1434,1
CUST-0026,0.4200,0.7600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1598,1
CUST-0027,0.4900,0.8100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1762,1
CUST-0028,0.5600,0.8600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1926,1
CUST-0029,0.6300,0.1900,2026-04-22T00:00:00Z,free_shipping_offer,0.1442,1
CUST-0030,0.7000,0.2400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1606,1
CUST-0031,0.7700,0.2900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1770,1
