customer_id,last_marketing_contact_hours,contacts_last_7d
CUST-0001,96,1
CUST-0002,120,2
CUST-0003,144,3
CUST-0004,168,4
CUST-0005,192,0
CUST-0006,216,1
CUST-0007,240,2
CUST-0008,264,3
CUST-0009,288,4
CUST-0010,312,0
CUST-0011,336,1
CUST-0012,72,2
CUST-0013,96,3
CUST-0014,120,4
CUST-0015,144,0
CUST-0016,168,1
CUST-0017,192,2
CUST-0018,216,3
CUST-0019,240,4
CUST-0020,264,0
CUST-0021,288,1
CUST-0022,312,2
CUST-0023,336,3
CUST-0024,72,4
CUST-0025,96,0
CUST-0026,120,1
CUST-0027,144,2
CUST-0028,168,3
CUST-0029,192,4
CUST-0030,216,0
CUST-0031,240,1
CUST-0032,264,2
CUST-0033,288,3
CUST-0034,312,4
CUST-0035,336,0
CUST-0036,72,1
CUST-0037,96,2
CUST-0038,120,3
CUST-0039,144,4
CUST-0040,168,0
CUST-0041,192,1
CUST-0042,216,2
CUST-0043,240,3
CUST-0044,264,4
CUST-0045,288,0
CUST-0046,312,1
CUST-0047,336,2
CUST-0048,72,3
CUST-0049,96,4
CUST-0050,120,0
CUST-0051,144,1
CUST-0052,168,2
CUST-0053,192,3
CUST-0054,216,4
CUST-0055,240,0
CUST-0056,264,1
CUST-0057,288,2
CUST-0058,312,3
CUST-0059,336,4
CUST-0060,72,0
CUST-0061,96,1
CUST-0062,120,2
CUST-0063,144,3
CUST-0064,168,4
CUST-0065,192,0
CUST-0066,216,1
CUST-0067,240,2
CUST-0068,264,3
CUST-0069,288,4
CUST-0070,312,0
CUST-0071,336,1
CUST-0072,72,2
CUST-0073,96,3
CUST-0074,120,4
CUST-0075,144,0
CUST-0076,168,1
CUST-0077,192,2
CUST-0078,216,3
CUST-0079,240,4
CUST-0080,264,0
CUST-0081,288,1
CUST-0082,312,2
CUST-0083,336,3
CUST-0084,72,4
CUST-0085,96,0
CUST-0086,120,1
CUST-0087,144,2
CUST-0088,168,3
CUST-0089,192,4
CUST-0090,216,0
CUST-0091,240,1
CUST-0092,264,2
CUST-0093,288,3
CUST-0094,312,4
CUST-0095,336,0
CUST-0096,72,1
CUST-0097,96,2
CUST-0098,120,3
CUST-0099,144,4
CUST-0100,168,0
CUST-0101,192,1
CUST-0102,216,2
CUST-0103,240,3
CUST-0104,264,4
CUST-0105,288,0
CUST-0106,312,1
CUST-0107,336,2
CUST-0108,72,3
CUST-0109,96,4
CUST-0110,120,0
CUST-0111,144,1
CUST-0112,168,2
CUST-0113,192,3
CUST-0114,216,4
CUST-0115,240,0
CUST-0116,264,1
CUST-0117,288,2
CUST-0118,312,3
CUST-0119,336,4
CUST-0120,72,0
