customer_id,consent_status,profile_completeness,no_critical_service_case,do_not_contact
CUST-0001,true,0.81,true,false
CUST-0002,true,0.82,true,false
CUST-0003,true,0.83,true,false
CUST-0004,true,0.84,true,false
CUST-0005,true,0.85,true,false
CUST-0006,true,0.86,true,false
CUST-0007,true,0.87,true,false
CUST-0008,true,0.88,true,false
CUST-0009,true,0.89,true,false
CUST-0010,true,0.90,true,false
CUST-0011,true,0.91,true,false
CUST-0012,true,0.92,true,false
CUST-0013,true,0.93,true,false
CUST-0014,true,0.94,true,false
CUST-0015,true,0.95,true,false
CUST-0016,true,0.96,true,false
CUST-0017,true,0.97,true,false
CUST-0018,true,0.80,true,false
CUST-0019,true,0.81,false,false
CUST-0020,true,0.82,true,false
CUST-0021,true,0.83,true,false
CUST-0022,true,0.84,true,false
CUST-0023,true,0.85,true,false
CUST-0024,true,0.86,true,false
CUST-0025,true,0.87,true,false
CUST-0026,true,0.88,true,false
CUST-0027,true,0.89,true,false
CUST-0028,true,0.90,true,false
CUST-0029,true,0.91,true,false
CUST-0030,true,0.92,true,false
CUST-0031,true,0.93,true,true
CUST-0032,true,0.94,true,false
CUST-0033,true,0.95,true,false
CUST-0034,true,0.96,true,false
CUST-0035,true,0.97,true,false
CUST-0036,true,0.80,true,false
CUST-0037,true,0.81,true,false
CUST-0038,true,0.82,false,false
CUST-0039,true,0.83,true,false
CUST-0040,true,0.84,true,false
CUST-0041,true,0.85,true,false
CUST-0042,true,0.86,true,false
CUST-0043,true,0.87,true,false
CUST-0044,true,0.88,true,false
CUST-0045,true,0.89,true,false
CUST-0046,true,0.90,true,false
CUST-0047,true,0.91,true,false
CUST-0048,true,0.92,true,false
CUST-0049,true,0.93,true,false
CUST-0050,true,0.94,true,false
CUST-0051,true,0.95,true,false
CUST-0052,true,0.96,true,false
CUST-0053,true,0.97,true,false
CUST-0054,true,0.80,true,false
CUST-0055,true,0.81,true,false
CUST-0056,true,0.82,true,false
CUST-0057,true,0.83,false,false
CUST-0058,true,0.84,true,false
CUST-0059,true,0.85,true,false
CUST-0060,true,0.86,true,false
CUST-0061,true,0.87,true,false
CUST-0062,true,0.88,true,true
CUST-0063,true,0.89,true,false
CUST-0064,true,0.90,true,false
CUST-0065,true,0.91,true,false
CUST-0066,true,0.92,true,false
CUST-0067,true,0.93,true,false
CUST-0068,true,0.94,true,false
CUST-0069,true,0.95,true,false
CUST-0070,true,0.96,true,false
CUST-0071,true,0.97,true,false
CUST-0072,true,0.80,true,false
CUST-0073,true,0.81,true,false
CUST-0074,true,0.82,true,false
CUST-0075,true,0.83,true,false
CUST-0076,true,0.84,false,false
CUST-0077,true,0.85,true,false
CUST-0078,true,0.86,true,false
CUST-0079,true,0.87,true,false
CUST-0080,true,0.88,true,false
CUST-0081,true,0.89,true,false
CUST-0082,true,0.90,true,false
CUST-0083,true,0.91,true,false
CUST-0084,true,0.92,true,false
CUST-0085,true,0.93,true,false
CUST-0086,true,0.94,true,false
CUST-0087,true,0.95,true,false
CUST-0088,true,0.96,true,false
CUST-0089,true,0.97,true,false
CUST-0090,true,0.80,true,false
CUST-0091,true,0.81,true,false
CUST-0092,true,0.82,true,false
CUST-0093,true,0.83,true,true
CUST-0094,true,0.84,true,false
CUST-0095,true,0.85,false,false
CUST-0096,true,0.86,true,false
CUST-0097,true,0.87,true,false
CUST-0098,true,0.88,true,false
CUST-0099,true,0.89,true,false
CUST-0100,true,0.90,true,false
CUST-0101,true,0.91,true,false
CUST-0102,true,0.92,true,false
CUST-0103,true,0.93,true,false
CUST-0104,true,0.94,true,false
CUST-0105,true,0.95,true,false
CUST-0106,true,0.96,true,false
CUST-0107,true,0.97,true,false
CUST-0108,true,0.80,true,false
CUST-0109,true,0.81,true,false
CUST-0110,true,0.82,true,false
CUST-0111,true,0.83,true,false
CUST-0112,true,0.84,true,false
CUST-0113,true,0.85,true,false
CUST-0114,true,0.86,false,false
CUST-0115,true,0.87,true,false
CUST-0116,true,0.88,true,false
CUST-0117,true,0.89,true,false
CUST-0118,true,0.90,true,false
CUST-0119,true,0.91,true,false
CUST-0120,true,0.92,true,false
